slang,translationID,translationEN,contextID,contextEN,exampleID,exampleEN,sentiment
aj,saja,just,"Digunakan untuk menyederhanakan atau memperjelas suatu pernyataan, sering kali dalam konteks informal.","Used to simplify or clarify a statement, often in informal contexts.",Aku mau makan aj.,I just want to eat.,neutral
aja,saja,just,"Digunakan untuk menekankan sesuatu yang dianggap sederhana atau tidak perlu diperdebatkan, sering kali untuk menyampaikan ketidakpedulian atau keangkuhan.","Used to emphasize something that is considered simple or not worth debating, often to convey indifference or arrogance.",Ayo makan aja.,Let's just eat.,neutral
ajah,saja,just,"Digunakan untuk mengekspresikan sesuatu yang tidak lebih dari sekadar itu, sering kali menunjukkan keengganan atau meredakan pernyataan sebelumnya.","Used to express something that is no more than that, often indicating reluctance or downplaying a previous statement.","Aku mau nonton film, ajah.",I just want to watch a movie.,neutral
ajalah,saja,just,Digunakan untuk menekankan kesederhanaan atau pengandaian; sering digunakan dalam percakapan santai.,Used to emphasize simplicity or assumption; often found in casual conversations.,"Ajalah, kita pergi ke bioskop sekarang.",Let's just go to the cinema now.,neutral
aje,saja,just,"Digunakan dalam percakapan santai untuk mengekspresikan kesederhanaan atau ketidakseriusan, sering kali untuk menekankan bahwa sesuatu tidak perlu rumit.","Used in casual conversations to express simplicity or lightheartedness, often emphasizing that something doesn’t need to be complicated.",Ayo kita makan aje.,Let's just eat.,neutral
ajh,saja,just,Digunakan dalam percakapan santai untuk menekankan suatu hal yang dianggap sepele atau tidak penting.,Used in casual conversations to emphasize something considered trivial or unimportant.,"Ajh, gue cuman mau bilang itu.","Just, I wanted to say that.",neutral
ajj,saja,just,Digunakan untuk menekankan kesederhanaan atau mengurangi intensitas dari suatu pernyataan.,Used to emphasize simplicity or to downplay the intensity of a statement.,Aku mau makan ajj.,I just want to eat.,neutral
aku,saya,I,"Digunakan dalam situasi santai atau akrab, seringkali oleh orang-orang muda untuk menyatakan diri dengan cara yang lebih personal.","Used in casual or familiar situations, often by younger people to refer to themselves in a more personal way.",Aku mau pergi ke mall nanti.,I want to go to the mall later.,neutral
ak,saya,I,Digunakan dalam percakapan informal sebagai bentuk penunjukan diri yang lebih akrab dan santai.,Used in informal conversations as a more familiar and casual way to refer to oneself.,Ak mau pergi ke bioskop nanti malam.,I want to go to the cinema tonight.,neutral
akoh,saya,I,"Digunakan dalam percakapan sehari-hari, biasanya di kalangan teman dekat atau dalam situasi santai. 'Akoh' memberikan nuansa akrab dan informal.","Used in everyday conversation, typically among close friends or in casual situations. 'Akoh' conveys a sense of familiarity and informality.",Akoh mau pergi ke pasar sekarang.,I want to go to the market now.,neutral
akutu,saya,I,"Digunakan dalam percakapan sehari-hari, 'akutu' adalah bentuk informal dari 'saya', sering dipakai di kalangan teman dekat atau dalam situasi santai.","Used in everyday conversations, 'akutu' is an informal form of 'I', often used among close friends or in casual situations.",Akutu mau pergi ke bioskop nanti malam.,I want to go to the movies tonight.,neutral
aq,saya,I,"Merupakan singkatan dari 'saya', digunakan dalam komunikasi informal, terutama di media sosial dan pesan teks di kalangan anak muda.","It is an abbreviation of 'saya', used in informal communication, especially in social media and text messages among young people.",Aq mau pergi ke mall nanti.,I want to go to the mall later.,neutral
alesan,alasan,reason,"Digunakan dalam konteks sehari-hari untuk menyebutkan alasan atau motivasi di balik tindakan seseorang, sering kali dengan nuansa santai atau informal.","Used in everyday contexts to refer to the reason or motivation behind someone's actions, often with a casual or informal nuance.",Dia selalu punya alesannya sendiri untuk tidak datang.,He always has his own reasons for not showing up.,neutral
ama,sama,same,"Digunakan dalam percakapan informal untuk menunjukkan kesamaan atau persetujuan, sering kali dalam konteks yang santai dan akrab.","Used in informal conversations to indicate sameness or agreement, often in a relaxed and familiar context.","Aku juga suka pizza, ama kamu.","I also like pizza, same as you.",positive
amaca,ah masa,oh come on,Sering digunakan untuk mengekspresikan ketidakpercayaan atau skeptisisme terhadap sesuatu yang dianggap terlalu berlebihan atau tidak masuk akal.,Often used to express disbelief or skepticism toward something perceived as exaggerated or unreasonable.,"Amaca, kamu serius mau pergi ke sana sendirian?","Oh come on, are you serious about going there alone?",negative
amuh,kamu,you,"Slang yang digunakan dalam percakapan santai atau informal, sering kali menunjukkan kedekatan atau keakraban antara pembicara dan pendengar.","A slang used in casual or informal conversations, often indicating closeness or familiarity between the speaker and the listener.",Amuh mau ikut nonton film nanti?,Are you going to join me to watch a movie later?,positive
ancur,hancur,broken / crushed,"Sering digunakan untuk menggambarkan sesuatu yang rusak atau tidak berfungsi, baik secara fisik maupun emosional, dengan nuansa yang lebih informal dan ekspresif.","Often used to describe something that is broken or not functioning, either physically or emotionally, with a more informal and expressive nuance.","Habis jatuh, handphoneku ancur.","After the fall, my phone is broken.",negative
ane,saya,I,"Digunakan secara tidak formal, sering kali di kalangan anak muda, untuk menyatakan diri sendiri dengan nada yang lebih akrab atau santai.","Used informally, often among young people, to refer to oneself in a more casual or friendly tone.",Ane mau pergi ke bioskop nanti malam.,I want to go to the cinema tonight.,neutral
anget,hangat,warm,"Digunakan dalam situasi santai untuk menggambarkan sesuatu yang bersifat hangat, baik secara fisik maupun emosional.","Used in casual situations to describe something that is warm, both physically and emotionally.",Minum teh anget di sore hari itu enak banget.,Drinking warm tea in the afternoon is really nice.,positive
anjeng,anjing,dog,"Digunakan sebagai ungkapan kasar atau ejekan, sering kali dalam konteks marah atau frustrasi.","Used as a vulgar expression or insult, often in the context of anger or frustration.","Anjeng, kamu bikin aku kesal!","Damn, you really annoy me!",negative
ank,anak,child,Digunakan dalam konteks santai atau akrab untuk merujuk pada anak atau seseorang yang lebih muda.,Used in a casual or affectionate context to refer to a child or someone younger.,Ank itu lucu banget ya.,That child is so cute.,positive
apah,apa,what,"Digunakan dalam percakapan santai, biasanya untuk mengekspresikan kebingungan atau meminta klarifikasi.","Used in casual conversation, often to express confusion or to ask for clarification.",Apah yang kamu maksud dengan itu?,What do you mean by that?,neutral
aph,apa,what,Digunakan dalam percakapan santai untuk mengekspresikan ketidakpahaman atau meminta klarifikasi.,Used in casual conversation to express confusion or to ask for clarification.,Aph yang lu maksud?,What do you mean?,neutral
apo,apa,what,"Digunakan dalam percakapan sehari-hari, terutama di kalangan anak muda, untuk mengekspresikan kebingungan atau meminta penjelasan lebih lanjut.","Used in casual conversations, especially among young people, to express confusion or to ask for further clarification.",Apo yang kamu maksud?,What do you mean?,neutral
apose,apa,what,Digunakan sebagai ungkapan informal untuk menanyakan sesuatu dengan nada yang lebih santai atau akrab.,Used as an informal expression to ask about something in a more casual or familiar tone.,"Eh, apose yang kamu bilang barusan?","Hey, what did you just say?",neutral
apz,apa,what,"Digunakan dalam percakapan santai di antara teman-teman, biasanya untuk mengekspresikan ketidakpastian atau menanyakan informasi lebih lanjut.","Used in casual conversations among friends, typically to express uncertainty or to ask for more information.",Apz yang kamu bilang tadi?,What did you just say?,neutral
artine,artinya,means,Digunakan dalam percakapan informal untuk menanyakan atau menjelaskan arti dari sesuatu dengan cara yang santai.,Used in informal conversations to ask or explain the meaning of something in a relaxed manner.,"Gue gak paham, artine apa sih?","I don't understand, what does it mean?",neutral
asek,asik,cool / fun,"Digunakan untuk menggambarkan sesuatu yang menyenangkan atau menarik, sering digunakan dalam konteks sosial atau hiburan.","Used to describe something enjoyable or interesting, often in social or entertainment contexts.",Party kemarin malam itu bener-bener asek!,The party last night was really cool!,positive
ati2,hati-hati,be careful,"Digunakan untuk mengingatkan seseorang agar berhati-hati dalam situasi tertentu, sering kali dalam konteks informal.","Used to remind someone to be careful in certain situations, often in informal contexts.",Ati2 ya pas nyebrang jalan.,Be careful when crossing the street.,neutral
atit,sakit,sick,"Digunakan untuk menggambarkan kondisi fisik yang tidak sehat atau merasa tidak enak badan, sering kali dalam konteks informal.","Used to describe a physical condition that is unhealthy or feeling unwell, often in an informal context.","Gue lagi atit nih, kayaknya harus istirahat.","I'm feeling sick right now, I think I need to rest.",negative
atu,satu,one,"Digunakan dalam percakapan santai untuk menyebut angka satu, sering kali dengan nada akrab atau humor.","Used in casual conversation to refer to the number one, often with a friendly or humorous tone.",Saya cuma mau satu saja.,I just want one.,neutral
atw,atau,or,Digunakan dalam percakapan santai untuk menawarkan pilihan atau alternatif dalam situasi informal.,Used in casual conversations to offer choices or alternatives in informal situations.,Mau nonton film atw main game?,Do you want to watch a movie or play a game?,neutral
ayang,sayang,dear / darling,"Digunakan dalam konteks kasih sayang atau kedekatan emosional, seringkali diucapkan kepada pasangan atau orang tercinta.","Used in the context of affection or emotional closeness, often addressed to a partner or loved one.","Ayang, aku rindu kamu.","Darling, I miss you.",positive
ayuk,ayo,let's go,"Digunakan untuk mengajak seseorang beraktivitas bersama, seringkali dalam konteks yang santai atau informal.","Used to invite someone to engage in an activity together, often in a casual or informal context.",Ayuk kita nonton film malam ini.,Let's go watch a movie tonight.,positive
babang,abang,older brother,"Digunakan sebagai sapaan akrab untuk laki-laki yang lebih tua, sering kali di antara teman atau dalam konteks informal.","Used as a friendly address for older males, often among friends or in informal contexts.","Babang, ayo kita pergi bareng.","Hey bro, let's go together.",positive
bae,baik,babe / sweetheart,Digunakan sebagai istilah sayang atau akrab untuk pasangan atau orang yang dicintai.,Used as a term of endearment or affection for a partner or loved one.,"Aku sayang kamu, bae.","I love you, babe.",positive
bais,habis,out of stock / finished,"Digunakan dalam konteks informal untuk menyatakan sesuatu yang sudah habis atau tidak tersedia lagi, sering kali dengan nada bercanda atau santai.","Used informally to express that something is finished or unavailable, often with a light-hearted or casual tone.","Maaf, snack ini bais, kita harus beli lagi.","Sorry, this snack is out of stock, we need to buy more.",neutral
bakalan,akan,will,Digunakan dalam percakapan santai untuk menyatakan rencana atau prediksi di masa depan.,Used in casual conversation to express plans or predictions for the future.,Aku bakalan pergi ke pesta malam ini.,I will go to the party tonight.,neutral
bales,balas,reply,"Digunakan dalam konteks percakapan digital, terutama di media sosial, untuk meminta atau memberi tahu seseorang untuk membalas pesan.","Used in the context of digital conversations, especially on social media, to ask or inform someone to reply to a message.","Bales dong, aku nunggu jawabanmu!","Reply, come on, I'm waiting for your answer!",neutral
bandingin,bandingkan,compare,"Digunakan dalam konteks informal untuk meminta seseorang membandingkan dua hal, sering kali dengan nada santai atau akrab.","Used in an informal context to ask someone to compare two things, often with a casual or familiar tone.",Ayo bandingin harga dua smartphone ini.,"Come on, compare the prices of these two smartphones.",neutral
banget,sekali,very,"Digunakan untuk menguatkan pernyataan atau ekspresi, sering kali mengekspresikan emosi yang kuat seperti kegembiraan atau kekaguman.","Used to intensify a statement or expression, often conveying strong emotions such as excitement or admiration.",Film itu bagus banget!,That movie is really good!,positive
bangett,sangat,very,"Digunakan untuk mengekspresikan intensitas yang tinggi dalam pernyataan atau perasaan, sering kali dalam konteks informal atau percakapan santai.","Used to express a high level of intensity in statements or feelings, often in informal contexts or casual conversations.",Makanan di sini enak bangett!,The food here is very good!,positive
banyakin,perbanyak,to multiply / to increase,"Digunakan dalam konteks informal untuk menyarankan agar sesuatu diperbanyak, baik itu jumlah, aktivitas, atau kesempatan.","Used in an informal context to suggest that something should be increased, whether it's quantity, activities, or opportunities.",Banyakin promonya biar orang-orang tertarik.,Increase the promotion so that people are more interested.,positive
barengan,bersamaan,together / in unison,"Digunakan untuk menggambarkan tindakan atau kejadian yang berlangsung bersamaan dengan orang lain, seringkali dalam konteks yang santai atau akrab.","Used to describe actions or events happening simultaneously with others, often in a casual or familiar context.",Kita nonton film barengan di bioskop malam ini.,We're watching a movie together at the cinema tonight.,positive
baryaw,sabar ya,be patient,"Digunakan untuk menenangkan seseorang yang sedang merasa frustrasi atau tidak sabar, menunjukkan empati dan dukungan.","Used to calm someone who is feeling frustrated or impatient, conveying empathy and support.","Baryaw, kita tunggu saja sampai dia datang.","Be patient, let's just wait until he arrives.",positive
baso,bakso,meatball,"Istilah yang merujuk pada makanan khas Indonesia, biasanya dijadikan makanan ringan atau hidangan utama. Sering digunakan dalam konteks santai saat berbicara tentang kuliner.","A term referring to a traditional Indonesian food, often enjoyed as a snack or main dish. Commonly used in casual conversations about food.",Ayo kita beli baso di warung sebelah!,Let's buy meatballs at the stall next door!,positive
bay,selamat tinggal,goodbye,Digunakan secara santai di antara teman atau dalam situasi informal sebagai ungkapan perpisahan.,Used casually among friends or in informal situations as a farewell expression.,"Oke, bay! Sampai jumpa lagi.","Okay, bye! See you again.",positive
bbrp,beberapa,some,"Digunakan dalam komunikasi informal, terutama di pesan teks atau media sosial, untuk merujuk pada jumlah yang tidak pasti.","Used in informal communication, especially in text messages or social media, to refer to an unspecified quantity.",Aku bbrp kali udah bilang jangan terlambat.,I've told you some times not to be late.,neutral
bc,baca,read,"Merupakan singkatan dari kata 'baca', sering digunakan dalam komunikasi online atau pesan singkat untuk menyarankan seseorang agar membaca informasi atau konten tertentu.","It is an abbreviation of the word 'read', often used in online communication or text messages to suggest that someone should read a specific piece of information or content.","Eh, bc deh semua info yang ada di grup.","Hey, just read all the info in the group.",neutral
bcs,bisa,can,Digunakan dalam percakapan santai untuk menyatakan kemampuan atau kemungkinan melakukan sesuatu.,Used in casual conversations to express ability or possibility to do something.,Gue bcs bantuin dia ngerjain tugas.,I can help him with his assignment.,positive
bct,bicara,talk,"Digunakan sebagai singkatan dalam percakapan santai, terutama di media sosial, untuk menyiratkan keinginan untuk berbicara atau berdiskusi.","Used as an abbreviation in casual conversations, especially on social media, to imply a desire to talk or discuss.","Bct, kita harus bahas rencana liburan kita.","Talk, we need to discuss our vacation plans.",positive
bdan,badan,body,"Istilah santai yang sering digunakan dalam percakapan sehari-hari, terutama di kalangan anak muda, untuk merujuk pada tubuh seseorang.","A casual term commonly used in everyday conversations, especially among young people, to refer to someone's body.",Dia punya bdan yang atletis.,He has an athletic body.,positive
bdg,bandung,Bandung,"Digunakan sebagai singkatan untuk merujuk kepada kota Bandung, seringkali dalam percakapan santai atau di media sosial.","Used as an abbreviation to refer to the city of Bandung, often in casual conversations or on social media.",Ayo kita liburan ke bdg akhir pekan ini!,Let's go on a vacation to bdg this weekend!,positive
bdn,badan,body,"Merupakan singkatan dari 'badan', sering digunakan dalam percakapan santai atau media sosial untuk merujuk pada fisik seseorang.","It's an abbreviation of 'badan', commonly used in casual conversations or social media to refer to someone's physique.",Dia punya bdn yang atletis.,He has an athletic body.,positive
becanda,bercanda,joking,"Digunakan untuk menunjukkan interaksi santai dan humoris, sering kali dalam situasi yang tidak serius.","Used to indicate a casual and humorous interaction, often in non-serious situations.","Jangan serius-serius amat, kita kan lagi becanda.","Don't be so serious, we're just joking.",positive
bedua,berdua,together,"Digunakan untuk merujuk pada dua orang yang sedang bersama, sering kali dalam konteks santai atau akrab.","Used to refer to two people who are together, often in a casual or intimate context.",Kita bedua nonton film malam ini.,We are going to watch a movie together tonight.,positive
bego,bodoh,stupid,Digunakan untuk merendahkan atau mengejek seseorang yang dianggap tidak pintar atau membuat kesalahan bodoh.,Used to belittle or mock someone perceived as unintelligent or making foolish mistakes.,Kok kamu bisa bego gitu sih?,How can you be so stupid?,negative
bekel,bekal,provisions,"Digunakan dalam konteks memberi atau menyiapkan sesuatu untuk keperluan atau perjalanan, sering kali berkonotasi positif.","Used in the context of providing or preparing something for needs or journeys, often with a positive connotation.",Jangan lupa bawa bekel untuk piknik besok.,Don't forget to bring provisions for the picnic tomorrow.,positive
belom,belum,not yet,Digunakan dalam percakapan sehari-hari untuk menyatakan bahwa sesuatu belum terjadi atau belum selesai.,Used in everyday conversation to indicate that something has not yet happened or is not complete.,Aku belom makan siang.,I haven't had lunch yet.,neutral
belon,belum,not yet,"Digunakan untuk menunjukkan bahwa sesuatu belum selesai atau belum terjadi, sering dipakai dalam percakapan santai.","Used to indicate that something is not finished or has not happened yet, often used in casual conversations.",Aku belon makan siang.,I haven't had lunch yet.,neutral
bener,benar,correct / true,Digunakan dalam percakapan sehari-hari untuk menegaskan kebenaran atau keakuratan suatu pernyataan dengan nada santai.,Used in everyday conversations to affirm the truth or accuracy of a statement in a casual tone.,"Iya, itu bener banget.","Yeah, that's totally correct.",positive
bener2,benar-benar,really / truly,"Digunakan untuk menekankan kebenaran atau keseriusan suatu pernyataan, sering kali dalam konteks informal atau sehari-hari.","Used to emphasize the truth or seriousness of a statement, often in informal or everyday contexts.",Dia bener2 suka sama kamu.,He really likes you.,positive
beneran,benar,really / truly,"Digunakan untuk menegaskan kebenaran atau keaslian suatu pernyataan, sering kali dalam konteks percakapan santai.","Used to emphasize the truth or authenticity of a statement, often in a casual conversation context.",Dia beneran mau datang ke acaranya.,He really wants to come to the event.,positive
berantem,bertengkar,to fight,"Digunakan dalam konteks pertikaian fisik atau verbal antara individu atau kelompok, sering kali menunjukkan emosi marah atau konflik.","Used in the context of physical or verbal altercations between individuals or groups, often indicating anger or conflict.",Mereka berantem di tengah jalan.,They fought in the middle of the street.,negative
berenti,berhenti,stop,Digunakan dalam konteks percakapan santai atau informal untuk menyatakan keinginan atau perintah agar sesuatu atau seseorang berhenti melakukan aktivitas tertentu.,Used in casual or informal conversations to express a desire or command for something or someone to stop a particular activity.,"Berenti deh, kamu bikin aku pusing.","Just stop, you're making me dizzy.",negative
besoq,besok,tomorrow,"Digunakan dalam percakapan sehari-hari untuk merujuk pada hari setelah hari ini, sering kali dengan nada santai atau akrab.","Used in everyday conversation to refer to the day after today, often with a casual or familiar tone.",Kita ketemu besoq ya?,Shall we meet tomorrow?,neutral
bete,sebal,annoyed / irritated,Digunakan untuk menggambarkan perasaan sebal atau jengkel terhadap sesuatu atau seseorang.,Used to describe a feeling of annoyance or irritation towards something or someone.,Aku jadi bete banget karena hujan deras.,I'm so annoyed because of the heavy rain.,negative
beud,banget,very,"Digunakan untuk menekankan sesuatu dengan tingkat intensitas yang tinggi, seringkali dalam konteks informal atau percakapan santai.","Used to emphasize something with a high level of intensity, often in informal contexts or casual conversations.",Film itu seru beud!,That movie is very fun!,positive
bg,bagi,for,"Dari singkatan 'bagi', digunakan dalam konteks informal untuk menunjukkan pembagian atau alokasi sesuatu.",Derived from the word 'bagi'; used informally to indicate the division or allocation of something.,"Bg yang mau ikut nonton, ayo kumpul!","For those who want to join the movie, let's gather!",neutral
bgd,sangat,very,Digunakan dalam konteks informal untuk mengekspresikan intensitas yang tinggi terhadap sesuatu.,Used in informal contexts to express a high intensity towards something.,Acara itu bgd seru!,That event was very exciting!,positive
bget,sangat,very,Digunakan dalam percakapan informal untuk mengekspresikan tingkat atau intensitas yang tinggi terhadap sesuatu.,Used in informal conversation to express a high degree or intensity towards something.,Film itu bget bagus!,That movie is very good!,positive
bgini,begini,like this,Digunakan untuk memberi penjelasan atau menggambarkan sesuatu dengan cara yang lebih informal dan akrab.,Used to explain or describe something in a more informal and familiar manner.,"Bgini, kita harus pergi lebih awal supaya dapat tempat duduk.","Like this, we need to leave earlier to get a seat.",neutral
bgitu,begitu,like that,"Digunakan untuk menyatakan persetujuan atau pemahaman terhadap sesuatu, sering kali dalam percakapan santai.","Used to express agreement or understanding about something, often in casual conversations.","Jadi, kita mau nonton film bgitu?","So, we want to watch a movie like that?",neutral
bgks,bungkus,wrap up,"Digunakan dalam konteks santai untuk menyatakan bahwa sesuatu akan dibungkus atau diakhiri, sering kali terkait dengan makanan atau barang.","Used in a casual context to indicate that something will be wrapped up or finished, often related to food or items.",Ayo bgks makanan ini sebelum dingin.,Let's wrap up this food before it gets cold.,neutral
bgm,bagaimana,how,"Digunakan dalam percakapan sehari-hari, terutama di media sosial dan pesan instan, untuk menanyakan keadaan atau situasi seseorang dengan cara yang santai.","Used in everyday conversation, especially on social media and instant messaging, to casually ask about someone's state or situation.",Bgm kabarnya hari ini?,How are you doing today?,neutral
bgmn,bagaimana,how,"Sering digunakan dalam percakapan santai di media sosial atau pesan teks untuk menanyakan cara, kondisi, atau situasi dengan nada informal.","Often used in casual conversations on social media or text messages to ask about manner, condition, or situation in an informal tone.",Bgmn cara buat kue ini?,How do you make this cake?,neutral
bgn,bangun,wake up,"Digunakan terutama dalam konteks santai atau informal, sering kali untuk membangunkan teman atau mengingatkan seseorang untuk tidak terlambat.","Used primarily in casual or informal contexts, often to wake up a friend or remind someone not to be late.","Ayo bgn, kita sudah terlambat!","Come on, wake up, we're already late!",neutral
bgni,begini,like this,Digunakan untuk menunjukkan penjelasan atau cara melakukan sesuatu dengan lebih jelas.,Used to indicate an explanation or way of doing something more clearly.,"Kalo mau sukses, bgni caranya.","If you want to succeed, do it like this.",neutral
bgntdr,bangun tidur,wake up,"Digunakan dalam konteks percakapan santai untuk menyebutkan tindakan bangun dari tidur, sering kali dengan nada yang ringan atau humoris.","Used in casual conversation to refer to the act of waking up, often with a light or humorous tone.",Hari ini aku bgntdr jam 10 pagi.,Today I woke up at 10 AM.,neutral
bgs,bagus,good,"Merupakan singkatan dari 'bagus', sering digunakan dalam percakapan santai di media sosial atau pesan singkat untuk menyatakan bahwa sesuatu itu baik atau memuaskan.","It is an abbreviation of 'bagus', commonly used in casual conversations on social media or text messages to indicate that something is good or satisfying.",Filmnya bgs banget!,The movie is really good!,positive
bgt,sangat,very,"Merupakan singkatan dari 'banget', digunakan dalam percakapan santai untuk menekankan sesuatu secara positif atau negatif.","It is an abbreviation of 'banget', used in casual conversations to emphasize something either positively or negatively.",Aku bgt suka sama lagu ini.,I really like this song.,positive
bgtu,begitu,like that,"Digunakan untuk menyatakan kesepakatan atau pemahaman terhadap sesuatu, sering kali dalam percakapan santai.","Used to express agreement or understanding about something, often in casual conversation.","Jadi, kita pergi ke pantai bgtu?","So, we're going to the beach like that?",neutral
bgus,bagus,good,"Merupakan bentuk singkat dari 'bagus', biasanya digunakan dalam percakapan santai dan informal, sering kali di media sosial atau pesan teks.","It is a shortened form of 'bagus', commonly used in casual and informal conversations, often in social media or text messages.",Film itu bgus banget!,That movie is really good!,positive
bhay,selamat tinggal,goodbye,Digunakan secara santai di kalangan teman-teman atau dalam situasi informal sebagai ungkapan perpisahan.,Used casually among friends or in informal situations as a way to say farewell.,"Oke, bhay! Sampai jumpa besok.","Alright, goodbye! See you tomorrow.",positive
bhn,bahan,material / ingredient,"Sering digunakan dalam konteks kuliner atau kerajinan, mengacu pada bahan yang dibutuhkan untuk membuat sesuatu.","Often used in culinary or crafting contexts, referring to the materials needed to create something.",Jangan lupa beli bhn untuk kue ulang tahun.,Don't forget to buy the ingredients for the birthday cake.,neutral
bhs,bahas,to discuss,"Dari singkatan 'bahas', sering digunakan dalam percakapan santai untuk merujuk pada diskusi atau pembicaraan tentang suatu topik.","Derived from the abbreviation 'bahas', often used in casual conversations to refer to discussing or talking about a topic.",Ayo bhs tentang rencana liburan kita!,Let's discuss our vacation plans!,positive
bhw,bahwa,that,"Singkatan dari 'bahwa', sering digunakan dalam percakapan sehari-hari melalui pesan teks atau media sosial untuk menghemat waktu dan ruang.","An abbreviation of 'bahwa', commonly used in everyday texting or social media conversations to save time and space.",Gue bhw kita harus ketemu lagi.,I say that we should meet again.,neutral
bhy,bahaya,danger,Sering digunakan dalam percakapan santai untuk menggambarkan situasi yang berisiko atau berbahaya.,Often used in casual conversations to describe risky or dangerous situations.,"Hati-hati, itu bhy banget!","Be careful, that's really dangerous!",negative
bisaa,bisa,can / able to,Digunakan dalam situasi informal untuk mengekspresikan kemampuan atau kemungkinan melakukan sesuatu dengan nada yang lebih santai.,Used in informal situations to express ability or possibility of doing something in a more relaxed tone.,Aku bisaa bantu kamu besok.,I can help you tomorrow.,positive
bisya,bisa,can,"Slang yang digunakan untuk menyatakan kemampuan atau kemungkinan, sering dipakai dalam percakapan santai antara teman.","A slang used to express ability or possibility, often used in casual conversations among friends.",Gue bisya bantu lu nanti.,I can help you later.,positive
biza,bisa,can,"Merupakan variasi pengucapan dari 'bisa', sering digunakan dalam percakapan santai di kalangan anak muda.","A variation of 'bisa', often used in casual conversations among young people.",Aku biza bantu kamu besok.,I can help you tomorrow.,positive
bj,baju,clothes,"Slang ini digunakan dalam bahasa sehari-hari untuk merujuk pada pakaian secara umum, sering kali dalam konteks santai atau informal.","This slang is used in everyday language to refer to clothing in general, often in a casual or informal context.",Gue baru beli bj baru untuk pergi ke pesta.,I just bought new clothes to go to the party.,neutral
bju,baju,shirt,"Digunakan dalam percakapan santai, sering kali di kalangan anak muda, untuk merujuk pada pakaian atas yang dikenakan.","Used in casual conversations, often among youth, to refer to an upper garment worn.",Gue baru beli bju keren buat ke pesta.,I just bought a cool shirt for the party.,positive
bk,buku,book,"Merupakan singkatan dari 'buku', sering digunakan dalam percakapan santai, terutama di kalangan remaja atau di media sosial.","It is an abbreviation of 'buku', commonly used in casual conversations, especially among teenagers or on social media.",Aku lagi baca bk yang baru.,I'm reading the new book.,neutral
